Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-11,1669.0,1669.0,1400.0,816.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-18,1600.0,1697.0,1599.0,1077.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-25,1622.0,1645.0,1575.0,201.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-02,1575.0,1575.0,1575.0,314.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-09,1530.0,1575.0,1530.0,199.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-16,1500.0,1500.0,1500.0,25.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-23,1410.0,1410.0,1400.0,158.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-30,1400.0,1400.0,1400.0,72.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-13,1400.0,1440.0,1400.0,90.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-20,1380.0,1400.0,1380.0,80.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-27,1380.0,1380.0,1380.0,144.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-03,1400.0,1400.0,1380.0,440.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-10,1400.0,1430.0,1400.0,448.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-17,1422.0,1422.0,1381.0,100.0,22.859670168108465,BUY,13.249211356466876,,BUY,-86.75078864353313,BUY,,HOLD,61.763718925251275,HOLD,1477.7142857142858,1467.570300043006,1430.8857142857141,SELL,SELL,SELL
2015-02-24,1410.0,1429.0,1410.0,48.0,21.55937144836075,BUY,9.46372239747634,,BUY,-90.53627760252365,BUY,,HOLD,62.26993667901296,HOLD,1459.2142857142858,1459.8942600372718,1421.8571428571431,SELL,SELL,SELL
2015-03-03,1398.0,1398.0,1301.0,40.0,20.314933453292255,BUY,28.197674418604652,16.970202724182624,HOLD,-71.80232558139535,HOLD,,HOLD,41.95582208282031,HOLD,1444.7857142857142,1451.6416920323022,1413.6952380952382,SELL,SELL,SELL
2015-03-10,1265.0,1310.0,1265.0,207.0,12.02809248475478,BUY,0.0,12.553798938693665,BUY,-100.0,BUY,,HOLD,42.69545005691518,HOLD,1419.2857142857142,1426.756133094662,1389.7238095238097,SELL,SELL,SELL
2015-03-17,1300.0,1300.0,1261.0,218.0,21.144179126789652,BUY,12.420382165605096,13.539352194736582,BUY,-87.57961783439491,BUY,,HOLD,54.47060307195167,HOLD,1399.642857142857,1409.855315348707,1373.8190476190475,SELL,SELL,SELL
2015-03-24,1201.0,1269.0,1200.0,140.0,16.071186689362378,BUY,0.3333333333333333,4.251238499646143,BUY,-99.66666666666667,BUY,,HOLD,56.925038352650276,HOLD,1376.142857142857,1382.0079399688796,1347.3333333333335,SELL,SELL,SELL
2015-03-31,1200.0,1200.0,1200.0,11.0,16.0293517798125,BUY,0.0,4.251238499646143,BUY,-100.0,BUY,-159.90730011587488,BUY,57.38642491275001,HOLD,1354.7142857142858,1357.7402146396958,1323.847619047619,SELL,SELL,SELL
2015-04-07,1180.0,1200.0,1166.0,633.113,15.178350627131948,BUY,5.109489051094891,1.8142741281427412,BUY,-94.8905109489051,BUY,-160.15605949768357,BUY,48.8198249201858,HOLD,1338.2857142857142,1334.0415193544031,1300.5523809523809,SELL,SELL,SELL
2015-04-14,1140.0,1166.0,1101.0,706.0,13.62083439957216,BUY,11.504424778761061,5.537971276618651,BUY,-88.49557522123894,BUY,-167.1271438252621,BUY,40.72030240908061,HOLD,1319.7142857142858,1308.169316773816,1274.1142857142859,SELL,SELL,SELL
2015-04-21,1245.0,1245.0,1145.0,1000.0,33.043704571525595,HOLD,43.76899696048632,20.12763693011409,HOLD,-56.23100303951368,HOLD,-98.9601188435607,HOLD,52.82791328739053,HOLD,1308.642857142857,1299.746741203974,1264.152380952381,SELL,SELL,SELL
2015-04-28,1200.0,1200.0,1200.0,221.0,29.93686635094771,BUY,30.091185410334347,28.454869049860577,HOLD,-69.90881458966565,HOLD,-93.52640545144806,HOLD,51.33637781673303,HOLD,1295.7857142857142,1286.4471757101107,1249.6666666666665,SELL,SELL,SELL
2015-05-05,1160.0,1160.0,1160.0,35.0,27.464912862352733,BUY,17.933130699088146,30.597771023302936,BUY,-82.06686930091185,BUY,-107.22768917543266,BUY,52.86627973566743,HOLD,1280.0714285714287,1269.587552282096,1231.561904761905,SELL,SELL,SELL
2015-05-12,1225.0,1225.0,1160.0,254.0,36.622979942133014,HOLD,37.68996960486322,28.571428571428573,HOLD,-62.31003039513678,HOLD,-70.15694542047329,HOLD,49.96735356819665,HOLD,1267.5714285714287,1263.6425453111501,1224.2190476190476,SELL,SELL,BUY
2015-05-19,1250.0,1250.0,1189.0,665.0,39.772620442899196,HOLD,45.426829268292686,33.683309857414685,HOLD,-54.573170731707314,HOLD,-46.60383139000514,HOLD,51.76283483037031,HOLD,1256.857142857143,1261.8235392696636,1221.8761904761905,SELL,SELL,BUY
2015-05-26,1151.0,1151.0,1146.0,74.0,32.817369451725455,HOLD,15.24390243902439,32.786900437393435,BUY,-84.7560975609756,BUY,-95.4990356363899,HOLD,52.325846180360394,HOLD,1237.5,1247.0470673670418,1207.7619047619046,SELL,SELL,SELL
2015-06-02,1152.0,1185.0,1151.0,108.0,32.9449280454735,HOLD,17.171717171717173,25.947482959678084,BUY,-82.82828282828282,BUY,-78.59403324423137,HOLD,52.85518722521735,HOLD,1219.0714285714287,1234.3741250514363,1196.3619047619047,SELL,SELL,SELL
2015-06-09,1130.0,1179.0,1115.0,659.0,31.52672335273988,HOLD,13.875598086124402,15.430405898955323,BUY,-86.1244019138756,BUY,-87.13833634719724,HOLD,46.58922315651216,HOLD,1199.9285714285713,1220.457575044578,1184.4857142857143,SELL,SELL,SELL
2015-06-16,1100.0,1100.0,1100.0,60.0,29.652201309183837,BUY,0.0,10.349105085947192,BUY,-100.0,BUY,-110.86772507285437,BUY,48.21979420048449,HOLD,1188.142857142857,1204.3965650386344,1171.161904761905,SELL,SELL,SELL
